Id,Site,CƠM TRẮNG,MÓN MẶN,MÓN RAU XÀO/ LUỘC,CANH,MÓN TRÁNG MIỆNG,MÓN NƯỚC,MÓN CHAY,MÓN MÌ SỮA,Ghi chú
SITE_BEP_001,SMC01,Bếp 1 - SMC1,Bếp 1 - SMC1,Bếp 1 - SMC1,Bếp 1 - SMC1,Bếp 1 - SMC1,Bếp 1 - SMC1,Bếp 1 - SMC1,,
SITE_BEP_002,SMC02,Bếp 2 - SMC1,Bếp 2 - SMC1,Bếp 2 - SMC1,Bếp 2 - SMC1,Bếp 2 - SMC1,Bếp 1 - SMC1,Bếp 1 - SMC1,,
SITE_BEP_003,SMC03,Bếp 3 - SMC2,Bếp 6 - SMC2,Bếp 3 - SMC2,Bếp 3 - SMC2,Bếp 3 - SMC2,Bếp 6 - SMC2,Bếp 6 - SMC2,,
SITE_BEP_004,SMC04,Bếp 4 - SMC3,Bếp 1 - SMC1,Bếp 4 - SMC3,Bếp 4 - SMC3,Bếp 4 - SMC3,Bếp 1 - SMC1,Bếp 1 - SMC1,,
SITE_BEP_005,SMC05,Bếp 1 - SMC1,Bếp 1 - SMC1,Bếp 1 - SMC1,Bếp 1 - SMC1,Bếp 1 - SMC1,Bếp 1 - SMC1,Bếp 1 - SMC1,,
SITE_BEP_006,SMC06,Bếp 6 - SMC2,Bếp 6 - SMC2,Bếp 6 - SMC2,Bếp 6 - SMC2,Bếp 6 - SMC2,Bếp 6 - SMC2,Bếp 6 - SMC2,,
SITE_BEP_007,SMC07,Bếp 1 - SMC1,Bếp 1 - SMC1,Bếp 1 - SMC1,Bếp 1 - SMC1,Bếp 1 - SMC1,,,,
SITE_BEP_008,LIX01,Bếp LIXIL VPC,Bếp LIXIL VPC,Bếp LIXIL VPC,Bếp LIXIL VPC,Bếp LIXIL VPC,Bếp LIXIL VPC,Bếp LIXIL VPC,Bếp LIXIL2,
SITE_BEP_009,LIX02,Bếp LIXIL1,Bếp LIXIL VPC,Bếp LIXIL1,Bếp LIXIL1,Bếp LIXIL1,Bếp LIXIL VPC,Bếp LIXIL VPC,,"Bếp VPC sơ chế NVL, chuyển bếp Fab nấu"
SITE_BEP_010,LIX03,Bếp LIXIL2,Bếp LIXIL VPC,Bếp LIXIL2,Bếp LIXIL2,Bếp LIXIL2,Bếp LIXIL VPC,Bếp LIXIL VPC,Bếp LIXIL2,"Bếp VPC sơ chế NVL, chuyển bếp Fab nấu"
SITE_BEP_011,WAC01,Bếp WACOAL110,Bếp WACOAL110,Bếp WACOAL110,Bếp WACOAL110,Bếp WACOAL110,Bếp WACOAL110,Bếp WACOAL110,Bếp WACOAL110,
SITE_BEP_012,WAC02,Bếp WACOAL58,Bếp WACOAL58,Bếp WACOAL58,Bếp WACOAL58,Bếp WACOAL58,Bếp WACOAL58,Bếp WACOAL58,Bếp WACOAL58,
SITE_BEP_013,QUA01,Bếp QUADRILLE,Bếp QUADRILLE,Bếp QUADRILLE,Bếp QUADRILLE,Bếp QUADRILLE,Bếp QUADRILLE,Bếp QUADRILLE,Bếp QUADRILLE,
SITE_BEP_014,OSV01,Bếp ONĐN,Bếp trung tâm,Bếp ONĐN,Bếp ONĐN,Bếp ONĐN,Bếp trung tâm,Bếp trung tâm,,
SITE_BEP_015,SAI01,Bếp trung tâm,Bếp trung tâm,Bếp trung tâm,Bếp trung tâm,Bếp trung tâm,Bếp trung tâm,Bếp trung tâm,,
SITE_BEP_016,SAI02,Bếp trung tâm,Bếp trung tâm,Bếp trung tâm,Bếp trung tâm,Bếp trung tâm,Bếp trung tâm,Bếp trung tâm,,
SITE_BEP_017,SAI03,Bếp trung tâm,Bếp trung tâm,Bếp trung tâm,Bếp trung tâm,Bếp trung tâm,Bếp trung tâm,Bếp trung tâm,,
SITE_BEP_018,SAI04,Bếp trung tâm,Bếp trung tâm,Bếp trung tâm,Bếp trung tâm,Bếp trung tâm,Bếp trung tâm,Bếp trung tâm,,
SITE_BEP_019,SAI05,Bếp trung tâm,Bếp trung tâm,Bếp trung tâm,Bếp trung tâm,Bếp trung tâm,Bếp trung tâm,Bếp trung tâm,,
SITE_BEP_020,CAT01,Bếp trung tâm,Bếp trung tâm,Bếp trung tâm,Bếp trung tâm,Bếp trung tâm,Bếp trung tâm,Bếp trung tâm,,
SITE_BEP_021,CAT02,Bếp trung tâm,Bếp trung tâm,Bếp trung tâm,Bếp trung tâm,Bếp trung tâm,Bếp trung tâm,Bếp trung tâm,,
SITE_BEP_022,CAT03,Bếp trung tâm,Bếp trung tâm,Bếp trung tâm,Bếp trung tâm,Bếp trung tâm,Bếp trung tâm,Bếp trung tâm,,
SITE_BEP_023,CAT04,Bếp trung tâm,Bếp trung tâm,Bếp trung tâm,Bếp trung tâm,Bếp trung tâm,Bếp trung tâm,Bếp trung tâm,,
SITE_BEP_024,SHI01,Bếp trung tâm,Bếp trung tâm,Bếp trung tâm,Bếp trung tâm,Bếp trung tâm,Bếp trung tâm,Bếp trung tâm,,
SITE_BEP_025,FIG01,Bếp trung tâm,Bếp trung tâm,Bếp trung tâm,Bếp trung tâm,Bếp trung tâm,Bếp trung tâm,Bếp trung tâm,,
SITE_BEP_026,F7A01,Bếp trung tâm,Bếp trung tâm,Bếp trung tâm,Bếp trung tâm,Bếp trung tâm,Bếp trung tâm,Bếp trung tâm,,
SITE_BEP_027,WAT01,Bếp trung tâm,Bếp trung tâm,Bếp trung tâm,Bếp trung tâm,Bếp trung tâm,Bếp trung tâm,Bếp trung tâm,,
SITE_BEP_028,MAS01,Bếp trung tâm,Bếp trung tâm,Bếp trung tâm,Bếp trung tâm,Bếp trung tâm,Bếp trung tâm,Bếp trung tâm,,
SITE_BEP_029,VIK01,Bếp trung tâm,Bếp trung tâm,Bếp trung tâm,Bếp trung tâm,Bếp trung tâm,Bếp trung tâm,Bếp trung tâm,,
SITE_BEP_030,SNE01,Bếp trung tâm,Bếp trung tâm,Bếp trung tâm,Bếp trung tâm,Bếp trung tâm,Bếp trung tâm,Bếp trung tâm,,
SITE_BEP_031,MED01,Bếp trung tâm,Bếp trung tâm,Bếp trung tâm,Bếp trung tâm,Bếp trung tâm,Bếp trung tâm,Bếp trung tâm,,
