Id,Số thứ tự Site,Khách hàng,Site phục vụ,Ca,TL % món mặn,TL % món chay,TL % món nước,TL % món sữa nước
001,1,WACOAL,Wacoal110,Ca 1,,,,
002,2,WACOAL,Wacoal58,Ca 1,,,,
003,3,SMC MANUFACTURING,Bếp 1 - SMC1 - F2,Ca 1,,,,
004,4,SMC MANUFACTURING,Bếp 4 - SMC3,Ca 1,,,,
005,5,SMC MANUFACTURING,Bếp 5 - SMC1 - F10,Ca 1,,,,
006,6,SMC MANUFACTURING,Bếp 7 - SMC4,Ca 1,,,,
007,7,SMC MANUFACTURING,Bếp 3 - SMC2 - F8,Ca 1,,,,
008,8,SMC MANUFACTURING,Bếp 6 - SMC2 - F6,Ca 1,,,,
009,9,SMC MANUFACTURING,Bếp 1 - SMC1 - F2,Ca 2,,,,
010,10,SMC MANUFACTURING,Bếp 4 - SMC3,Ca 2,,,,
011,11,SMC MANUFACTURING,Bếp 5 - SMC1 - F10,Ca 2,,,,
012,12,SMC MANUFACTURING,Bếp 7 - SMC4,Ca 2,,,,
013,13,SMC MANUFACTURING,Bếp 3 - SMC2 - F8,Ca 2,,,,
014,14,SMC MANUFACTURING,Bếp 6 - SMC2 - F6,Ca 2,,,,
015,15,TOÀN CẦU LIXIL,LIXFAB1,Ca 1,0.7,0.15,0.1,0.2
016,16,TOÀN CẦU LIXIL,LIXFAB2,Ca 1,0.7,0.15,0.1,0.2
017,17,TOÀN CẦU LIXIL,LIXVPC,Ca 1,0.7,0.15,0.1,0.2
018,18,TOÀN CẦU LIXIL,LIXFAB2,Ca 2,0.7,0.15,0.1,0.2
019,19,TOÀN CẦU LIXIL,LIXVPC,Ca 2,0.7,0.15,0.1,0.2
020,20,QUARILLE,QUADRILLE,Ca 1,,,,
021,21,ZAMIL,ZAMIL,Ca 1,,,,
022,22,OM DIGITAL SOLUTIONS,OM,Ca 1,,,,
023,23,OM DIGITAL SOLUTIONS,OM,Ca 2,,,,
024,24,OM DIGITAL SOLUTIONS,OM,Ca 3,,,,
025,25,ON SEMICONDUCTOR,OSV,Ca 1 + Hành Chánh,,,,
026,26,ON SEMICONDUCTOR,OSV,Ca 2,,,,
027,27,ON SEMICONDUCTOR,OSV,Ca 3,,,,
028,28,SCAVI,SCV VPC,Ca 1,,,,
029,29,SCAVI,SCV K9,Ca 1,,,,
030,30,WATABE,Watabe,Ca 1,0.5,0.3,0.1,0.1
031,31,WATABE,Watabe,Ca 2,0.4,0.2,0.2,0.2
032,32,VIKYNO,Vikyno,Ca 1,,,,
033,33,SHINE,SHINE,Ca 1,,,,
034,34,CAT THAI,Cát Thái 1,Ca 1,,,,
035,35,CAT THAI,Cát Thái 2,Ca 1,,,,
036,36,CAT THAI,Cát Thái 3,Ca 1,,,,
037,37,CAT THAI,Cát Thái 4,Ca 1,,,,
038,38,CAT THAI,Cát Thái 1,Ca 3,,,,
039,39,MASPRO,MASPRO,Ca 1,,,,
040,40,MASPRO,MASPRO,Ca 2,,,,
041,41,CREATE MEDIC,MEDIC,Ca 1,,,,
042,42,SAITEX INTERNATIONAL,Saitex may,Ca 1,,,,
043,43,SAITEX INTERNATIONAL,Saitex cắt,Ca 1,,,,
044,44,SAITEX INTERNATIONAL,Saitex 4,Ca 1,,,,
045,45,SAITEX INTERNATIONAL,Saitex 5,Ca 1,,,,
046,46,SAITEX INTERNATIONAL,Saitex 6,Ca 1,,,,
047,47,SAITEX INTERNATIONAL,Saitex cắt,Ca 2,,,,
048,48,SAITEX INTERNATIONAL,Saitex 5,Ca 2,,,,
049,49,SAITEX INTERNATIONAL,Saitex 6,Ca 2,,,,
050,50,FIGLA,FIGLA,Ca 1,,,,
051,51,FIGLA,FIGLA,Ca 2,,,,
052,52,SHISEIDO,SHISIEDO,Ca 1,,,,
053,53,JFE SHOJI,JFE,Ca 1,,,,
054,54,JFE SHOJI,JFE,Ca 2,,,,
055,55,FUKUVI,FUKUVI,Ca 1,,,,
056,56,FUKUVI,FUKUVI,Ca 2,,,,
057,57,BRISKHEAT ,BRISKHEAT,Ca 1,,,,
058,58,SOFA THƯỜNG,SOFA THƯỜNG,Ca 1,,,,
059,59,SOFA QUẢN LÝ,SOFA CƠM QL,Ca 1,,,,
060,60,SOFA THƯỜNG,SOFA THƯỜNG,Ca 2,,,,
061,61,SOFA QUẢN LÝ,SOFA CƠM QL,Ca 2,,,,
062,62,DONA QUẾ BẰNG,DONA,Ca 1,,,,
063,63,DONA QUẾ BẰNG,DONA,Ca 2,,,,
106,,,,,,,,
