Id,Mã site,Site phục vụ,Mã khách hàng,Tên khách hàng,Dừng hoạt động,Dừng hoạt động (1)
SITE_025,FIG01,FIGLA,FIGLA,CÔNG TY TNHH FIGLA VIỆT NAM,,
SITE_030,SNE01,SHINE,SHINE,CÔNG TY TNHH VIỆT NAM SHINE,,
SITE_035,SCV01,SCV VPC,SCAVI,CÔNG TY CỔ PHẦN SCAVI VIỆT NAM,,
SITE_036,SCV02,SCV K9,SCAVI,CÔNG TY CỔ PHẦN SCAVI VIỆT NAM,,
SITE_037,SCV03,SCV 70K,SCAVI,CÔNG TY CỔ PHẦN SCAVI VIỆT NAM,,
SITE_044,SCV04,SCV 50K,SCAVI,CÔNG TY CỔ PHẦN SCAVI VIỆT NAM,0,
SITE_027,WAT01,Watabe,WATABE,CÔNG TY TNHH WATABE WEDDING VIỆT NAM,,
SITE_031,MED01,MEDIC,CREATE MEDIC,CÔNG TY TNHH VIỆT NAM CREATE MEDIC,,
SITE_040,MUP01,MUP,MUSASHI PAINT,CÔNG TY TNHH VIỆT NAM MUSASHI PAINT,,
SITE_041,OMS01,OM,OM DIGITAL SOLUTIONS,CÔNG TY TNHH OM DIGITAL SOLUTIONS VIỆT NAM,,
SITE_001,SMC01,Bếp 1 - SMC1 - F2,SMC MANUFACTURING,CÔNG TY TNHH SMC MANUFACTURING (VIỆT NAM),0,
SITE_002,SMC02,Bếp 2 - SMC1 - F5,SMC MANUFACTURING,CÔNG TY TNHH SMC MANUFACTURING (VIỆT NAM),0,
SITE_003,SMC03,Bếp 3 - SMC2 - F8,SMC MANUFACTURING,CÔNG TY TNHH SMC MANUFACTURING (VIỆT NAM),0,
SITE_004,SMC04,Bếp 4 - SMC3,SMC MANUFACTURING,CÔNG TY TNHH SMC MANUFACTURING (VIỆT NAM),0,
SITE_005,SMC05,Bếp 5 - SMC1 - F10,SMC MANUFACTURING,CÔNG TY TNHH SMC MANUFACTURING (VIỆT NAM),0,
SITE_006,SMC06,Bếp 6 - SMC2 - F6,SMC MANUFACTURING,CÔNG TY TNHH SMC MANUFACTURING (VIỆT NAM),0,
SITE_007,SMC07,Bếp 7 - SMC4,SMC MANUFACTURING,CÔNG TY TNHH SMC MANUFACTURING (VIỆT NAM),0,
