Id,Số thứ tự Site,Khách hàng,Site ăn,Suất ăn,Bếp thực hiện,Ca,Ghi chú,Parent items,Parent items 2
030,1,WATABE,WAT01,Suất mặn,Bếp trung tâm,Ca 1,,,
149,1,WATABE,WAT01,Suất chay,Bếp trung tâm,Ca 1,,,
252,1,WATABE,WAT01,Suất mặn,Bếp trung tâm,Ca 2,,,
001,2,WACOAL,WAC01,Suất mặn,Bếp tại chỗ,Ca 1,,,
172,2,WACOAL,WAC01,Suất chay,Bếp tại chỗ,Ca 1,,,
131,2,WACOAL,WAC02,Suất mặn,Bếp tại chỗ,Ca 1,,,
173,2,WACOAL,WAC02,Suất chay,Bếp tại chỗ,Ca 1,,,
003,3,SMC MANUFACTURING,SMC01,Suất mặn,Bếp tại chỗ,Ca 1,,,
004,3,SMC MANUFACTURING,SMC01,Suất nước,Bếp tại chỗ,Ca 1,,,
129,3,SMC MANUFACTURING,SMC01,Suất chay,Bếp tại chỗ,Ca 1,,,
009,3,SMC MANUFACTURING,SMC01,Suất mặn,Bếp tại chỗ,Ca 2,,,
010,3,SMC MANUFACTURING,SMC01,Suất nước,Bếp tại chỗ,Ca 2,,,
130,3,SMC MANUFACTURING,SMC02,Suất mặn,Bếp tại chỗ,Ca 1,,,
174,3,SMC MANUFACTURING,SMC02,Suất nước,Bếp tại chỗ,Ca 1,,,
175,3,SMC MANUFACTURING,SMC02,Suất chay,Bếp tại chỗ,Ca 1,,,
176,3,SMC MANUFACTURING,SMC02,Suất mặn,Bếp tại chỗ,Ca 2,,,
177,3,SMC MANUFACTURING,SMC02,Suất nước,Bếp tại chỗ,Ca 2,,,
178,3,SMC MANUFACTURING,SMC03,Suất mặn,Bếp tại chỗ,Ca 1,,,
179,3,SMC MANUFACTURING,SMC03,Suất nước,Bếp tại chỗ,Ca 1,,,
180,3,SMC MANUFACTURING,SMC03,Suất chay,Bếp tại chỗ,Ca 1,,,
181,3,SMC MANUFACTURING,SMC03,Suất mặn,Bếp tại chỗ,Ca 2,,,
182,3,SMC MANUFACTURING,SMC03,Suất nước,Bếp tại chỗ,Ca 2,,,
183,3,SMC MANUFACTURING,SMC04,Suất mặn,Bếp tại chỗ,Ca 1,,,
184,3,SMC MANUFACTURING,SMC04,Suất nước,Bếp tại chỗ,Ca 1,,,
185,3,SMC MANUFACTURING,SMC04,Suất chay,Bếp tại chỗ,Ca 1,,,
186,3,SMC MANUFACTURING,SMC04,Suất mặn,Bếp tại chỗ,Ca 2,,,
187,3,SMC MANUFACTURING,SMC04,Suất nước,Bếp tại chỗ,Ca 2,,,
188,3,SMC MANUFACTURING,SMC05,Suất mặn,Bếp tại chỗ,Ca 1,,,
189,3,SMC MANUFACTURING,SMC05,Suất nước,Bếp tại chỗ,Ca 1,,,
190,3,SMC MANUFACTURING,SMC05,Suất chay,Bếp tại chỗ,Ca 1,,,
191,3,SMC MANUFACTURING,SMC05,Suất mặn,Bếp tại chỗ,Ca 2,,,
192,3,SMC MANUFACTURING,SMC05,Suất nước,Bếp tại chỗ,Ca 2,,,
193,3,SMC MANUFACTURING,SMC06,Suất mặn,Bếp tại chỗ,Ca 1,,,
194,3,SMC MANUFACTURING,SMC06,Suất nước,Bếp tại chỗ,Ca 1,,,
195,3,SMC MANUFACTURING,SMC06,Suất chay,Bếp tại chỗ,Ca 1,,,
196,3,SMC MANUFACTURING,SMC06,Suất mặn,Bếp tại chỗ,Ca 2,,,
197,3,SMC MANUFACTURING,SMC06,Suất nước,Bếp tại chỗ,Ca 2,,,
198,3,SMC MANUFACTURING,SMC07,Suất mặn,Bếp tại chỗ,Ca 1,,,
