Id,Mã khách hàng,Email,Form khách hàng chốt thực đơn,Form báo số lượng dự kiến,Form báo số lượng chốt
2,SMC MANUFACTURING,nguyenducngochoang@gmail.com,https://hakicovn.sg.larksuite.com/share/base/form/shrlg1WtcLNJYYXzhiYxXs1dswe?prefill_Khách+hàng=,,
3,TOÀN CẦU LIXIL,nguyenducngochoang@gmail.com,https://hakicovn.sg.larksuite.com/share/base/form/shrlg1WtcLNJYYXzhiYxXs1dswe?prefill_Khách+hàng=,,
4,WACOAL,nguyenducngochoang@gmail.com,https://hakicovn.sg.larksuite.com/share/base/form/shrlg1WtcLNJYYXzhiYxXs1dswe?prefill_Khách+hàng=,,
5,QUARILLE,nguyenducngochoang@gmail.com,https://hakicovn.sg.larksuite.com/share/base/form/shrlg1WtcLNJYYXzhiYxXs1dswe?prefill_Khách+hàng=,,
6,SEMICONDUCTOR,nguyenducngochoang@gmail.com,https://hakicovn.sg.larksuite.com/share/base/form/shrlg1WtcLNJYYXzhiYxXs1dswe?prefill_Khách+hàng=,,
7,SAITEX INTERNATIONAL,nguyenducngochoang@gmail.com,https://hakicovn.sg.larksuite.com/share/base/form/shrlg1WtcLNJYYXzhiYxXs1dswe?prefill_Khách+hàng=,,
8,CAT THAI,nguyenducngochoang@gmail.com,https://hakicovn.sg.larksuite.com/share/base/form/shrlg1WtcLNJYYXzhiYxXs1dswe?prefill_Khách+hàng=,,
9,FT INDUSTRIES,nguyenducngochoang@gmail.com,https://hakicovn.sg.larksuite.com/share/base/form/shrlg1WtcLNJYYXzhiYxXs1dswe?prefill_Khách+hàng=,,
10,FIGLA,nguyenducngochoang@gmail.com,https://hakicovn.sg.larksuite.com/share/base/form/shrlg1WtcLNJYYXzhiYxXs1dswe?prefill_Khách+hàng=,,
11,FUKUVI,nguyenducngochoang@gmail.com,https://hakicovn.sg.larksuite.com/share/base/form/shrlg1WtcLNJYYXzhiYxXs1dswe?prefill_Khách+hàng=,,
12,WATABE,nguyenducngochoang@gmail.com,https://hakicovn.sg.larksuite.com/share/base/form/shrlg1WtcLNJYYXzhiYxXs1dswe?prefill_Khách+hàng=,https://hakicovn.sg.larksuite.com/share/base/form/shrlgRXJAmZPE7D4ZeHbnchtApg?prefill_C%C3%B4ng+ty=WATABE&prefill_Site+ph%E1%BB%A5c+v%E1%BB%A5=Watabe,https://hakicovn.sg.larksuite.com/share/base/form/shrlgXePQij9yma1jcBTL21RWwb?prefill_C%C3%B4ng+ty=WATABE&prefill_Site+ph%E1%BB%A5c+v%E1%BB%A5=Watabe
13,MASPRO,nguyenducngochoang@gmail.com,https://hakicovn.sg.larksuite.com/share/base/form/shrlg1WtcLNJYYXzhiYxXs1dswe?prefill_Khách+hàng=,,
14,VIKYNO,nguyenducngochoang@gmail.com,https://hakicovn.sg.larksuite.com/share/base/form/shrlg1WtcLNJYYXzhiYxXs1dswe?prefill_Khách+hàng=,,
15,SHINE,nguyenducngochoang@gmail.com,https://hakicovn.sg.larksuite.com/share/base/form/shrlg1WtcLNJYYXzhiYxXs1dswe?prefill_Khách+hàng=,,
16,CREATE MEDIC,nguyenducngochoang@gmail.com,https://hakicovn.sg.larksuite.com/share/base/form/shrlg1WtcLNJYYXzhiYxXs1dswe?prefill_Khách+hàng=,,
17,SHOJI,nguyenducngochoang@gmail.com,https://hakicovn.sg.larksuite.com/share/base/form/shrlg1WtcLNJYYXzhiYxXs1dswe?prefill_Khách+hàng=,,
18,ZAMIL,nguyenducngochoang@gmail.com,https://hakicovn.sg.larksuite.com/share/base/form/shrlg1WtcLNJYYXzhiYxXs1dswe?prefill_Khách+hàng=,,
19,BRISKHEAT ,nguyenducngochoang@gmail.com,https://hakicovn.sg.larksuite.com/share/base/form/shrlg1WtcLNJYYXzhiYxXs1dswe?prefill_Khách+hàng=,,
20,SCAVI,nguyenducngochoang@gmail.com,https://hakicovn.sg.larksuite.com/share/base/form/shrlg1WtcLNJYYXzhiYxXs1dswe?prefill_Khách+hàng=,,
21,FINE HOME SOFA,nguyenducngochoang@gmail.com,https://hakicovn.sg.larksuite.com/share/base/form/shrlg1WtcLNJYYXzhiYxXs1dswe?prefill_Khách+hàng=,,
22,MANPOWER,nguyenducngochoang@gmail.com,https://hakicovn.sg.larksuite.com/share/base/form/shrlg1WtcLNJYYXzhiYxXs1dswe?prefill_Khách+hàng=,,
23,MUSASHI PAINT,nguyenducngochoang@gmail.com,https://hakicovn.sg.larksuite.com/share/base/form/shrlg1WtcLNJYYXzhiYxXs1dswe?prefill_Khách+hàng=,,
24,OM DIGITAL SOLUTIONS,nguyenducngochoang@gmail.com,https://hakicovn.sg.larksuite.com/share/base/form/shrlg1WtcLNJYYXzhiYxXs1dswe?prefill_Khách+hàng=,https://hakicovn.sg.larksuite.com/share/base/form/shrlgRXJAmZPE7D4ZeHbnchtApg?prefill_C%C3%B4ng+ty=OM+DIGITAL+SOLUTIONS&prefill_Site+ph%E1%BB%A5c+v%E1%BB%A5=OM,
25,DONA QUẾ BẰNG,nguyenducngochoang@gmail.com,https://hakicovn.sg.larksuite.com/share/base/form/shrlg1WtcLNJYYXzhiYxXs1dswe?prefill_Khách+hàng=,,
26,ODSV,nguyenducngochoang@gmail.com,https://hakicovn.sg.larksuite.com/share/base/form/shrlg1WtcLNJYYXzhiYxXs1dswe?prefill_Khách+hàng=,,
