Id,Mã khách hàng,Tên khách hàng,Người đại diện,Email,Số điện thoại,Địa chỉ,Link form phản hồi ý kiến khách hàng,Link form đăng ký suất ăn dự kiến,Link form đăng ký suất ăn chốt,Link form đăng ký suất ăn phát sinh,Dừng Hoạt động,IsTest
CLIENT_001,SMC MANUFACTURING,CÔNG TY TNHH SMC MANUFACTURING (VIỆT NAM),,hieutran@bizen.com.vn,,,https://hjpvb80b6cwn.jp.larksuite.com/share/base/form/shrjprqzBqm7acDIhw5XWyGxR1c?prefill_Khách+hàng=SMC MANUFACTURING,https://hjpvb80b6cwn.jp.larksuite.com/share/base/form/shrjpRvhsgObB1HVECugkxyJ81c?prefill_C%C3%B4ng+ty=SMC MANUFACTURING,https://hjpvb80b6cwn.jp.larksuite.com/share/base/form/shrjp5DyJTFf8i4LV8T9eVHHfgh?prefill_C%C3%B4ng+ty=SMC MANUFACTURING,https://hjpvb80b6cwn.jp.larksuite.com/share/base/form/shrjp8jgPaydvHiy5DRMo9A3PMP?prefill_C%C3%B4ng+ty=SMC MANUFACTURING,,1
CLIENT_002,TOÀN CẦU LIXIL,CÔNG TY TNHH SẢN XUẤT TOÀN CẦU LIXIL VIỆT NAM,,nguyenducngochoang@gmail.com,,,https://hjpvb80b6cwn.jp.larksuite.com/share/base/form/shrjprqzBqm7acDIhw5XWyGxR1c?prefill_Khách+hàng=TOÀN CẦU LIXIL,https://hjpvb80b6cwn.jp.larksuite.com/share/base/form/shrjpRvhsgObB1HVECugkxyJ81c?prefill_C%C3%B4ng+ty=TOÀN CẦU LIXIL,https://hjpvb80b6cwn.jp.larksuite.com/share/base/form/shrjp5DyJTFf8i4LV8T9eVHHfgh?prefill_C%C3%B4ng+ty=TOÀN CẦU LIXIL,https://hjpvb80b6cwn.jp.larksuite.com/share/base/form/shrjp8jgPaydvHiy5DRMo9A3PMP?prefill_C%C3%B4ng+ty=TOÀN CẦU LIXIL,,
CLIENT_003,WACOAL,CÔNG TY TNHH VIỆT NAM WACOAL,,nguyenducngochoang@gmail.com,,,https://hjpvb80b6cwn.jp.larksuite.com/share/base/form/shrjprqzBqm7acDIhw5XWyGxR1c?prefill_Khách+hàng=WACOAL,https://hjpvb80b6cwn.jp.larksuite.com/share/base/form/shrjpRvhsgObB1HVECugkxyJ81c?prefill_C%C3%B4ng+ty=WACOAL,https://hjpvb80b6cwn.jp.larksuite.com/share/base/form/shrjp5DyJTFf8i4LV8T9eVHHfgh?prefill_C%C3%B4ng+ty=WACOAL,https://hjpvb80b6cwn.jp.larksuite.com/share/base/form/shrjp8jgPaydvHiy5DRMo9A3PMP?prefill_C%C3%B4ng+ty=WACOAL,,
CLIENT_004,QUARILLE,CÔNG TY TNHH QUADRILLE VIỆT NAM,,nguyenducngochoang@gmail.com,,,https://hjpvb80b6cwn.jp.larksuite.com/share/base/form/shrjprqzBqm7acDIhw5XWyGxR1c?prefill_Khách+hàng=QUARILLE,https://hjpvb80b6cwn.jp.larksuite.com/share/base/form/shrjpRvhsgObB1HVECugkxyJ81c?prefill_C%C3%B4ng+ty=QUARILLE,https://hjpvb80b6cwn.jp.larksuite.com/share/base/form/shrjp5DyJTFf8i4LV8T9eVHHfgh?prefill_C%C3%B4ng+ty=QUARILLE,https://hjpvb80b6cwn.jp.larksuite.com/share/base/form/shrjp8jgPaydvHiy5DRMo9A3PMP?prefill_C%C3%B4ng+ty=QUARILLE,,
CLIENT_005,ON SEMICONDUCTOR,CÔNG TY TNHH ON SEMICONDUCTOR VIỆT NAM,,thuan.nhtm@bizencatering.com,,,https://hjpvb80b6cwn.jp.larksuite.com/share/base/form/shrjprqzBqm7acDIhw5XWyGxR1c?prefill_Khách+hàng=ON SEMICONDUCTOR,https://hjpvb80b6cwn.jp.larksuite.com/share/base/form/shrjpRvhsgObB1HVECugkxyJ81c?prefill_C%C3%B4ng+ty=ON SEMICONDUCTOR,https://hjpvb80b6cwn.jp.larksuite.com/share/base/form/shrjp5DyJTFf8i4LV8T9eVHHfgh?prefill_C%C3%B4ng+ty=ON SEMICONDUCTOR,https://hjpvb80b6cwn.jp.larksuite.com/share/base/form/shrjp8jgPaydvHiy5DRMo9A3PMP?prefill_C%C3%B4ng+ty=ON SEMICONDUCTOR,0,1
CLIENT_006,SAITEX INTERNATIONAL,CÔNG TY TNHH SAITEX INTERNATIONAL ĐỒNG NAI (VIỆT NAM),,nguyenducngochoang@gmail.com,,,https://hjpvb80b6cwn.jp.larksuite.com/share/base/form/shrjprqzBqm7acDIhw5XWyGxR1c?prefill_Khách+hàng=SAITEX INTERNATIONAL,https://hjpvb80b6cwn.jp.larksuite.com/share/base/form/shrjpRvhsgObB1HVECugkxyJ81c?prefill_C%C3%B4ng+ty=SAITEX INTERNATIONAL,https://hjpvb80b6cwn.jp.larksuite.com/share/base/form/shrjp5DyJTFf8i4LV8T9eVHHfgh?prefill_C%C3%B4ng+ty=SAITEX INTERNATIONAL,https://hjpvb80b6cwn.jp.larksuite.com/share/base/form/shrjp8jgPaydvHiy5DRMo9A3PMP?prefill_C%C3%B4ng+ty=SAITEX INTERNATIONAL,,
CLIENT_042,SAITEX D13,CÔNG TY TNHH SAITEX INTERNATIONAL ĐỒNG NAI (VIỆT NAM),,,,,https://hjpvb80b6cwn.jp.larksuite.com/share/base/form/shrjprqzBqm7acDIhw5XWyGxR1c?prefill_Khách+hàng=SAITEX D13,https://hjpvb80b6cwn.jp.larksuite.com/share/base/form/shrjpRvhsgObB1HVECugkxyJ81c?prefill_C%C3%B4ng+ty=SAITEX D13,https://hjpvb80b6cwn.jp.larksuite.com/share/base/form/shrjp5DyJTFf8i4LV8T9eVHHfgh?prefill_C%C3%B4ng+ty=SAITEX D13,https://hjpvb80b6cwn.jp.larksuite.com/share/base/form/shrjp8jgPaydvHiy5DRMo9A3PMP?prefill_C%C3%B4ng+ty=SAITEX D13,,
CLIENT_043,SAITEX 6,CÔNG TY TNHH SAITEX INTERNATIONAL ĐỒNG NAI (VIỆT NAM),,,,,https://hjpvb80b6cwn.jp.larksuite.com/share/base/form/shrjprqzBqm7acDIhw5XWyGxR1c?prefill_Khách+hàng=SAITEX 6,https://hjpvb80b6cwn.jp.larksuite.com/share/base/form/shrjpRvhsgObB1HVECugkxyJ81c?prefill_C%C3%B4ng+ty=SAITEX 6,https://hjpvb80b6cwn.jp.larksuite.com/share/base/form/shrjp5DyJTFf8i4LV8T9eVHHfgh?prefill_C%C3%B4ng+ty=SAITEX 6,https://hjpvb80b6cwn.jp.larksuite.com/share/base/form/shrjp8jgPaydvHiy5DRMo9A3PMP?prefill_C%C3%B4ng+ty=SAITEX 6,,
CLIENT_044,SAITEX D2,CÔNG TY TNHH SAITEX INTERNATIONAL ĐỒNG NAI (VIỆT NAM),,,,,https://hjpvb80b6cwn.jp.larksuite.com/share/base/form/shrjprqzBqm7acDIhw5XWyGxR1c?prefill_Khách+hàng=SAITEX D2,https://hjpvb80b6cwn.jp.larksuite.com/share/base/form/shrjpRvhsgObB1HVECugkxyJ81c?prefill_C%C3%B4ng+ty=SAITEX D2,https://hjpvb80b6cwn.jp.larksuite.com/share/base/form/shrjp5DyJTFf8i4LV8T9eVHHfgh?prefill_C%C3%B4ng+ty=SAITEX D2,https://hjpvb80b6cwn.jp.larksuite.com/share/base/form/shrjp8jgPaydvHiy5DRMo9A3PMP?prefill_C%C3%B4ng+ty=SAITEX D2,,
CLIENT_007,CAT THAI,CÔNG TY TNHH SẢN XUẤT VÀ THƯƠNG MẠI CÁT THÁI,,nguyenducngochoang@gmail.com,,,https://hjpvb80b6cwn.jp.larksuite.com/share/base/form/shrjprqzBqm7acDIhw5XWyGxR1c?prefill_Khách+hàng=CAT THAI,https://hjpvb80b6cwn.jp.larksuite.com/share/base/form/shrjpRvhsgObB1HVECugkxyJ81c?prefill_C%C3%B4ng+ty=CAT THAI,https://hjpvb80b6cwn.jp.larksuite.com/share/base/form/shrjp5DyJTFf8i4LV8T9eVHHfgh?prefill_C%C3%B4ng+ty=CAT THAI,https://hjpvb80b6cwn.jp.larksuite.com/share/base/form/shrjp8jgPaydvHiy5DRMo9A3PMP?prefill_C%C3%B4ng+ty=CAT THAI,,
