ID,Tên món ăn menu,Tên món ăn đề xuất,Nguyên vật liệu chính 1,Nguyên vật liệu phụ 1,Nguyên vật liệu phụ 2,Nguyên vật liệu phụ 3,Nguyên vật liệu phụ 4,Nguyên vật liệu phụ 5,Nguyên vật liệu phụ 6,Nguyên vật liệu phụ 7,Nguyên vật liệu phụ 8,Ghi chú,Is Test,Parent items,Ghi chú (1),Is Test (1),Parent items (1),Parent items (1) (1),Parent items (1) (1) (1),Parent items (1) (1) (1) (1),Trường 7,Trường 8,Trường 9,Trường 10,Trường 11,Trường 12,Trường 13,Trường 14,Trường 15,Trường 16,Trường 17,Trường 18
12214,Tàu hũ ki xào sả ớt,Tàu hũ ki xào sả ớt,Tàu hũ ki tươi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12215,Tàu hũ ki xào sả ớt,Tàu hũ ki xào sả ớt hành tây,Tàu hũ ki tươi,Hành tây,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12216,Mít non kho đậu phộng,Mít non kho đậu phộng,Mít non,Đậu phộng sống,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12217,Mít non kho đậu phộng,Mít non kho,Mít non,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12218,Tàu hũ ki sốt hành tây,Tàu hũ ki sốt hành tây,Tàu hũ ki tươi,Hành tây,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12219,Tàu hũ ki sốt hành tây,Tàu hũ ki tươi,Tàu hũ ki tươi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12220,Sườn dừa chay,Sườn dừa chay,Sườn dừa chay,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12221,Ruột non chay xào cải chua,Ruột non chay xào cải chua,Dưa chua,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12222,Tàu hũ ki xào nấm,Tàu hũ ki xào nấm đùi gà,Tàu hũ ki tươi,Nấm đùi gà,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12223,Tàu hũ ki xào nấm,Tàu hũ ki xào nấm đùi gà hành tây,Nấm đùi gà,Hành tây,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12224,Tàu hũ ki xào nấm,Tàu hũ ki xào nấm,Tàu hũ ki tươi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12225,Tàu hũ ki chiên muối ớt,Tàu hũ ki chiên muối ớt,Tàu hũ ki tươi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12226,Ruột heo khìa nước dừa,Ruột heo khìa nước dừa,Mì căn (ruột chay non),,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12227,Rau luộc thập cẩm,Rau luộc thập cẩm,Đậu bắp,Su su,Khổ qua,Bắp cải trắng,,,,,,,,,,,,,,,,,,,,,,,,,,
12228,Thịt kho củ cải,Thịt heo vai kho,Thịt heo vai tươi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12229,Thịt kho củ cải,Thịt kho củ cải,Thịt heo vai tươi,Củ cải trắng,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12230,Thịt chiên sả,Thịt chiên sả,Thịt heo vai ngon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12231,Nấm kho đậu hũ,Nấm kho đậu hũ,Nấm đùi gà,Đậu hũ chiên,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12232,Thịt kho đậu hũ,Thịt kho đậu hũ,Thịt heo vai tươi,Đậu hũ chiên,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12233,Thịt kho đậu hũ,Thịt kho đậu hũ tôm size 50,Tôm thẻ size 50 con,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12234,Thịt kho đậu hũ,Thịt kho đậu hũ cà rốt,Thịt heo vai tươi,Cà rốt,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12235,Miến măng gà,Miến măng gà,Miến vàng,Gà tam hoàng,File không da tươi,,,,,,,,,,,,,,,,,,,,,,,,,,,
12236,Phở bò chay,Phở bò chay nấm,Phở,Nấm bào ngư xám,Nấm kim châm,Nấm linh chi trắng đen,,,,,,,,,,,,,,,,,,,,,,,,,,
12237,Phở bò chay,Phở bò chay viên chay,Phở,Bò viên chay,Nấm linh chi trắng đen,,,,,,,,,,,,,,,,,,,,,,,,,,,
12238,Tôm chiên xù,Tôm chiên xù size 80,Tôm thẻ size 80 con,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12239,Tôm chiên xù,Tôm chiên xù size 100,Tôm thẻ size 100 con,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12240,Su hào xào,Su hào xào,Su hào,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
