Id,Tên món ăn,Text,Nhóm,Khách hàng,Nguyên liệu chính 1,NLC1 DVT,NLC 1 ĐVT,NLC1 SL,Nguyên liệu phụ 1,NLP 1 ĐVT,NLP1 SL,Nguyên liệu phụ 2,NLP 2 ĐVT,NLP2 SL,Nguyên liệu phụ 3,NLP 3 ĐVT,NLP3 SL,Nguyên liệu phụ 4,NLP 4 ĐVT,NLP4 SL,Nguyên liệu phụ 5,NLP 5 ĐVT,NLP5 SL,Nguyên liệu phụ 6,NLP6 SL
28,Thịt kho cà rốt,Thịt kho cà rốt,G1,WATABE,Thịt heo vai tươi,gram,gram,65,Cà rốt,gram,50,,,,,,,,,,,,,,
29,Tôm rim mặn,Tôm rim mặn size 100,G1,"WATABE, CAT THAI",Tôm thẻ size 100 con,"gram,gram",gram,40,,,,,,,,,,,,,,,,,
30,Canh rau dền,Canh rau dền thịt xay,G1,"WATABE, ON SEMICONDUCTOR, CAT THAI",Rau dền,gram,gram,70,Thịt xay,gram,1.8,,,,,,,,,,,,,,
31,Chả cá thì là,Chả cá thì là,G1,"WATABE, ON SEMICONDUCTOR",Cá sống,gram,gram,20,Mọc,gram,10,Thịt xay,gram,40,,,,,,,,,,,
32,Canh đu đủ,Canh đu đủ,G1,"WATABE, ON SEMICONDUCTOR",Đu đủ xanh gọt,gram,gram,100,,,,,,,,,,,,,,,,,
33,Rau muống xào,Rau muống xào,G1,"WATABE, ON SEMICONDUCTOR",Rau muống,gram,gram,90,,,,,,,,,,,,,,,,,
34,Trái cây,Trái cây,G1,"WATABE, ON SEMICONDUCTOR",,,,,,,,,,,,,,,,,,,,,
35,Cá ba sa kho tiêu,Cá ba sa kho tiêu,G1,"WATABE, CAT THAI",Cá ba sa không đầu,gram,gram,120,,,1,,,,,,,,,,,,,,
36,Su su xào,Su su xào,G1,"WATABE, TOÀN CẦU LIXIL, ON SEMICONDUCTOR, CAT THAI",Su su,gram,gram,100,,,,,,,,,,,,,,,,,
37,Bò bóp thấu,Bò bóp thấu,G1,WACOAL,Bò tái,gram,gram,35,,,,,,,,,,,,,,,,,
38,Đậu hũ tứ xuyên,Đậu hũ Tứ Xuyên thịt,G1,"WACOAL, ON SEMICONDUCTOR",Đậu hũ trắng,miếng,miếng,1,Thịt xay,gram,20,,,,,,,,,,,,,,
39,Canh bí xanh,Canh bí xanh,G1,WACOAL,Bí xanh,gram,gram,100,Thịt xay,gram,1.8,,,,,,,,,,,,,,
40,Cải luộc,Cải luộc,G1,"TOÀN CẦU LIXIL, WACOAL, ON SEMICONDUCTOR",Cải ngọt,gram,gram,90,,,,,,,,,,,,,,,,,
41,Chuối,Chuối cau,G1,WACOAL,Chuối cau,gram,gram,77,,,,,,,,,,,,,,,,,
42,Đậu hũ xào rau củ,Đậu hũ xào rau củ thập cẩm,G1,WACOAL,Đậu hũ trắng,miếng,miếng,1,Ớt chuông đủ màu,gram,40,Hành tây,gram,20,Nấm đông cô,gram,10,,,,,,,,
43,Nấm kho măng,Nấm kho măng,G1,WACOAL,Nấm đùi gà,gram,gram,60,Măng tươi,gram,40,,,,,,,,,,,,,,
44,Cánh gà chiên,Cánh gà chiên,G1,WACOAL,Cánh gà tươi size 8,gram,gram,167,,,,,,,,,,,,,,,,,
45,Gỏi tai heo,Gỏi tai heo,G1,WACOAL,Tai mũi,gram,gram,20,Thịt heo vai tươi,gram,20,,,,,,,,,,,,,,
46,Canh cải thảo,Canh cải thảo,G1,"TOÀN CẦU LIXIL, WACOAL, ON SEMICONDUCTOR, SAITEX INTERNATIONAL",Cải thảo,"gram,gram",gram,80,Thịt xay,gram,1.8,,,,,,,,,,,,,,
47,Dưa giá,Dưa giá,G1,"WACOAL, ON SEMICONDUCTOR, SAITEX INTERNATIONAL",,,,,,,,,,,,,,,,,,,,,
48,Rau câu,Rau câu,G1,"WACOAL, CAT THAI",Rau câu,cái,cái,1,,,,,,,,,,,,,,,,,
49,Canh súp,Canh súp,G1,"WACOAL, ON SEMICONDUCTOR",Cà rốt,gram,gram,10,Bắp cải trắng,gram,30,Su su,gram,40,,,,,,,,,,,
50,Củ sen xào chay,Củ sen xào chay,G1,WACOAL,Củ sen tươi,gram,gram,100,Ớt chuông đủ màu,gram,20,Hành tây,gram,30,Nấm kim châm,bịch,0.3,,,,,,,,
51,Sâm bổ lượng,Sâm bổ lượng,G1,WACOAL,Nhãn nhục,gram,gram,1.5,Táo đỏ,gram,10,Bo bo,gram,4,Thạch dừa,gram,12,Rong biển,gram,1,,,,,
52,Heo quay kho chay,Heo quay chay kho dưa chua,G1,WACOAL,Heo quay chay,gram,gram,60,Dưa chua,gram,50,,,,,,,,,,,,,,
53,Cá tráo chiên,Cá tráo chiên,G1,TOÀN CẦU LIXIL,Cá tráo size 10,gram,gram,125,,,,,,,,,,,,,,,,,
54,Cánh gà sốt chua ngọt,Cánh gà sốt chua ngọt,G1,TOÀN CẦU LIXIL,Cánh gà tươi size 8,gram,gram,120,,,,,,,,,,,,,,,,,
55,Táo xanh,Táo xanh,G1,TOÀN CẦU LIXIL,Táo xanh,gram,gram,55,,,,,,,,,,,,,,,,,
56,Tôm rang muối,Tôm rang muối size 50,G1,TOÀN CẦU LIXIL,Tôm thẻ size 50 con,gram,gram,60,,,,,,,,,,,,,,,,,
57,Cá thu nhật kho cà,Cá thu nhật kho cà,G1,TOÀN CẦU LIXIL,Cá thu đao nhập khẩu,gram,gram,70,Cà chua,gram,2,,,,,,,,,,,,,,
58,Đậu đũa xào,Đậu đũa xào,G1,TOÀN CẦU LIXIL,Đậu đũa,gram,gram,80,,,,,,,,,,,,,,,,,
59,Canh cải ngọt,Canh cải ngọt,G1,TOÀN CẦU LIXIL,Cải ngọt,gram,gram,80,,,,,,,,,,,,,,,,,
61,Bì thịt,Bì thịt,G1,TOÀN CẦU LIXIL,Bì heo,gram,gram,30,Thịt heo nạc vai,gram,30,Thính,gram,1,,,,,,,,,,,
62,Sườn kho thơm,Sườn kho thơm,G1,TOÀN CẦU LIXIL,Sườn non tươi,gram,gram,100,Thơm gọt,trái,5,,,,,,,,,,,,,,
63,Canh bún,Canh bún thập cẩm,G1,"TOÀN CẦU LIXIL, CREATE MEDIC",Bún bò,gram,gram,250,Tôm khô,gram,10,Cua xay,gram,10,Mọc,gram,50,Chả lụa,gram,15,Đậu hũ chiên,miếng,0.5,,
64,Bò xào sả ớt,Bò xào sả ớt,G1,TOÀN CẦU LIXIL,Bò tái,gram,gram,50,,,,,,,,,,,,,,,,,
65,Cá chiên mắm xoài,Cá chiên mắm xoài,G1,"TOÀN CẦU LIXIL, SAITEX INTERNATIONAL",Cá nục size 8,"gram,gram",gram,125,Xoài xanh,gram,50,,,,,,,,,,,,,,
66,Cải xào,Cải xào,G1,TOÀN CẦU LIXIL,Cải ngọt,gram,gram,80,,,,,,,,,,,,,,,,,
67,Canh bầu,Canh bầu thịt bằm,G1,TOÀN CẦU LIXIL,Bầu,gram,gram,100,Thịt xay,gram,1.8,,,,,,,,,,,,,,
68,Bò lagu,Bò lagu,G1,TOÀN CẦU LIXIL,Bò nạm,gram,gram,40,Khoai tây,gram,30,Cà rốt,gram,40,,,,,,,,,,,
69,Dưa leo,Dưa leo,G1,"TOÀN CẦU LIXIL, ON SEMICONDUCTOR",Dưa leo,gram,gram,77,,,,,,,,,,,,,,,,,
70,Canh cải xanh,Canh cải xanh,G1,TOÀN CẦU LIXIL,Cải xanh,gram,gram,50,Thịt xay,gram,1.8,,,,,,,,,,,,,,
71,Thịt xào đậu ve,thịt xào đậu ve,G1,TOÀN CẦU LIXIL,Thịt heo vai tươi,gram,gram,50,Đậu ve,gram,20,,,,,,,,,,,,,,
72,Bò xào lá lốt,Bò xào lá lốt,G1,ON SEMICONDUCTOR,Bò tái,gram,gram,40,Lá lốt,gram,1,,,,,,,,,,,,,,
73,Cá cơm rim mè,Cá cơm rim mè,G1,ON SEMICONDUCTOR,Cá cơm tươi,gram,gram,,Mè đen,gram,,,,,,,,,,,,,,,
74,Thịt nướng,Thịt nướng mỡ hành,G1,ON SEMICONDUCTOR,Thịt heo vai tươi,gram,gram,90,,,,,,,,,,,,,,,,,
75,Chả lụa rim hành lá,Chả lụa rim hành,G1,ON SEMICONDUCTOR,Chả lụa,gram,gram,40,Hành lá,gram,,,,,,,,,,,,,,,
76,Bún riêu,Bún riêu đầy đủ,G1,ON SEMICONDUCTOR,Bún nhỏ,gram,gram,220,Xương heo,gram,70,Cua xay,gram,30,Mọc,gram,30,Thịt xay,gram,30,Chả lụa,gram,15,Đậu hũ chiên,1.5
77,Sườn non kho dưa,Sườn non kho dưa chua,G1,ON SEMICONDUCTOR,Sườn non tươi,gram,gram,75,Dưa chua,gram,20,,,,,,,,,,,,,,
78,Trứng chiên hành,Trứng chiên hành,G1,ON SEMICONDUCTOR,Trứng gà 300 quả/cây,quả,quả,1.5,,,,,,,,,,,,,,,,,
79,Vịt kho chao,Vịt kho chao,G1,ON SEMICONDUCTOR,Vịt nguyên con không đầu không chân,gram,gram,120,Chao,hộp,0.01,,,,,,,,,,,,,,
80,Canh cải thảo,Canh cải thảo,G1,ON SEMICONDUCTOR,Cải thảo,"gram,gram",gram,80,Thịt xay,gram,1.8,,,,,,,,,,,,,,
81,Bún bò gàu chả,Bún bò gàu chả,G1,ON SEMICONDUCTOR,Bún bò,gram,gram,250,Bò gàu,gram,60,Chả lụa,gram,1,,,,,,,,,,,
82,Bánh canh thập cẩm,Bánh canh thịt chả,G1,ON SEMICONDUCTOR,Bánh canh,gram,gram,260,Thịt heo nạc vai,gram,90,Chả lụa,gram,15,Tôm thẻ size 60 con,gram,1,Trứng cút,quả,1,,,,,
83,Salad trứng,Salad trứng,G1,ON SEMICONDUCTOR,Xà lách giòn,gram,gram,20,Trứng gà 300 quả/cây,quả,1,,,,,,,,,,,,,,
84,Đùi gà bơ tỏi,Đùi gà bơ tỏi,G1,ON SEMICONDUCTOR,Đùi tỏi tươi size 6->6.5 cái,gram,gram,150,,,,,,,,,,,,,,,,,
85,Heo quay kho dưa chua,Heo quay kho dưa chua,G1,ON SEMICONDUCTOR,Heo quay,"gram,gram",gram,50,Dưa chua,gram,40,,,,,,,,,,,,,,
86,Hủ tiếu xá xíu,Hủ tiếu xá xíu,G1,ON SEMICONDUCTOR,Hủ tiếu tươi,gram,gram,133,Thịt heo nạc vai,gram,120,,,,,,,,,,,,,,
87,Tép rang mặn,Tép rang,G1,ON SEMICONDUCTOR,Tép,gram,gram,50,,,,,,,,,,,,,,,,,
88,Nạm bò xào sả ớt,Nạm bò xào sả ớt,G1,ON SEMICONDUCTOR,Bò nạm,gram,gram,50,,,,,,,,,,,,,,,,,
89,Cá chiên mắm sò,Cá chiên mắm xoài,G1,ON SEMICONDUCTOR,Cá nục size 8,gram,gram,125,Xoài xanh,gram,50,,,,,,,,,,,,,,
90,Gà kho lá chanh,Gà kho lá chanh,G1,ON SEMICONDUCTOR,Má gà tươi,gram,gram,150,,,,,,,,,,,,,,,,,
91,Canh chua thập cẩm,Canh chua thập cẩm đặc biệt,G1,ON SEMICONDUCTOR,Bạc hà,gram,gram,10,Giá,gram,20,Đậu bắp,gram,20,Cà chua,gram,20,,,,,,,,
92,Phở gà Hà Nội,Phở gà Hà Nội đùi phi lê,G1,ON SEMICONDUCTOR,Phở,gram,gram,250,Đùi góc tư tươi,gram,130,File không da tươi,gram,40,,,,,,,,,,,
93,Sữa chua hộp Vinamilk,Sữa chua hộp,G1,ON SEMICONDUCTOR,Sữa chua long thành 48 hộp/thùng,thùng,thùng,1,,,,,,,,,,,,,,,,,
94,Cá rô kho tiêu,Cá rô kho tiêu,G1,ON SEMICONDUCTOR,Cá rô size 8,gram,gram,125,,,,,,,,,,,,,,,,,
96,Mực trứng rim mắm,Mực trứng rim mắm,G1,ON SEMICONDUCTOR,Mực trứng,gram,gram,60,,,,,,,,,,,,,,,,,
97,Thịt chiên sốt tỏi,Thịt chiên sốt tỏi,G1,ON SEMICONDUCTOR,Thịt heo vai tươi,gram,gram,110,,,,,,,,,,,,,,,,,
98,Cải thảo xào,Cải thảo xào,G1,ON SEMICONDUCTOR,Cải thảo,gram,gram,50,,,,,,,,,,,,,,,,,
100,Tôm chiên,Tôm chiên xù size 100,G1,ON SEMICONDUCTOR,Tôm thẻ size 100 con,gram,gram,100,,,,,,,,,,,,,,,,,
101,Gà kho gừng,Gà kho gừng,G1,ON SEMICONDUCTOR,Má gà tươi,gram,gram,150,,,,,,,,,,,,,,,,,
104,Nem nướng mỡ hành,Nem nướng mỡ hành hành lá,G1,ON SEMICONDUCTOR,Nem nướng,gram,gram,60,,,,,,,,,,,,,,,,,
105,Rau muống luộc,Rau muống luộc,G1,ON SEMICONDUCTOR,Rau muống,gram,gram,90,,,,,,,,,,,,,,,,,
109,Tôm rim mặn,Tôm rim mặn size 100,G1,ON SEMICONDUCTOR,Tôm thẻ size 100 con,"gram,gram",gram,40,,,,,,,,,,,,,,,,,
111,Tôm cháy tỏi,Tôm cháy tỏi size 50,G1,ZAMIL,Tôm thẻ size 50 con,gram,gram,40,,,,,,,,,,,,,,,,,
112,Gà kho,Gà kho,G1,ZAMIL,Má gà tươi,gram,gram,170,,,,,,,,,,,,,,,,,
113,Thịt kho dưa chua,Thịt kho dưa chua,G1,CAT THAI,Thịt heo vai tươi,"gram,gram",gram,50,Dưa chua,gram,40,,,,,,,,,,,,,,
115,Thịt kho dưa chua,Thịt kho dưa chua,G2,SAITEX INTERNATIONAL,Thịt heo vai tươi,"gram,gram",gram,65,Dưa chua,gram,40,,,,,,,,,,,,,,
114,Cá chiên mắm xoài,Cá chiên mắm xoài size 10,G2,CAT THAI,Cá nục size 10,"gram,gram",gram,100,Xoài xanh,gram,50,,,,,,,,,,,,,,
116,Hủ tiếu xương,Hủ tiếu xương,G1,SAITEX INTERNATIONAL,Hủ tiếu tươi,gram,gram,250,Thịt heo vai tươi,gram,36,Xương heo,gram,120,,,,,,,,,,,
117,Heo quay kho dưa chua,Heo quay kho dưa chua,G2,SHISEIDO,Heo quay,"gram,gram",gram,54,Dưa chua,gram,40,,,,,,,,,,,,,,
118,Cá chiên,,,,"Tép,Cá chim size 10,Bạc hà,Phở,Trứng gà 300 quả/cây,Măng tươi,Thịt heo vai tươi,Sườn non ngon,Thịt heo nạc vai,Chả lụa,Tôm sú size 25",,,,"Giá,Đùi góc tư tươi,Lá lốt,Trứng vịt 300 quả/cây,Mọc,Hành lá",,,"Đậu bắp,File không da tươi",,,Cà chua,gram,,,,,,,,,
