ID,Mã món ăn,Mã nhóm món ăn,Tên món ăn,Nhóm món ăn
1,CANH_BAU_001,CANH_BAU,Canh bầu,MÓN CANH
2,CANH_BAU_002,CANH_BAU,Canh bầu nấu tôm,MÓN CANH
3,CANH_BI_001,CANH_BI,Canh bí đỏ,MÓN CANH
4,CANH_BI_002,CANH_BI,Canh bí đỏ hầm xương,MÓN CANH
5,CANH_BI_003,CANH_BI,Canh bí xanh,MÓN CANH
6,CANH_BI_004,CANH_BI,Canh bí xanh dồn thịt,MÓN CANH
7,CANH_CACHUA_001,CANH_CACHUA,Canh cà chua,MÓN CANH
8,CANH_CACHUA_002,CANH_CACHUA,Canh cà chua thịt bằm,MÓN CANH
9,CANH_CACHUA_003,CANH_CACHUA,Canh cà chua trứng,MÓN CANH
10,CANH_CAI_001,CANH_CAI,Canh bắp cải thịt bằm,MÓN CANH
11,CANH_CAI_002,CANH_CAI,Canh cải cúc,MÓN CANH
12,CANH_CAI_003,CANH_CAI,Canh cải ngọt,MÓN CANH
13,CANH_CAI_004,CANH_CAI,Canh cải thảo,MÓN CANH
14,CANH_CAI_005,CANH_CAI,Canh cải xanh,MÓN CANH
15,CANH_CAI_006,CANH_CAI,Canh cải xanh nấu mọc,MÓN CANH
16,CANH_CANHCHUA_001,CANH_CANHCHUA,Canh chua muống,MÓN CANH
17,CANH_CANHCHUA_002,CANH_CANHCHUA,Canh chua nấu nghêu,MÓN CANH
18,CANH_CANHCHUA_003,CANH_CANHCHUA,Canh chua thập cẩm,MÓN CANH
19,CANH_DAUHU_001,CANH_DAUHU,Canh đậu hũ hẹ,MÓN CANH
20,CANH_DAUHU_002,CANH_DAUHU,Canh đậu hũ kim chi,MÓN CANH
21,CANH_DAUHU_003,CANH_DAUHU,Canh kim chi đậu hũ,MÓN CANH
22,CANH_DUACHUA_001,CANH_DUACHUA,Canh dưa chua gân bò,MÓN CANH
23,CANH_DUDU_001,CANH_DUDU,Canh đu đủ,MÓN CANH
24,CANH_KHOAI_001,CANH_KHOAI,Canh khoai mỡ,MÓN CANH
25,CANH_KHOAI_002,CANH_KHOAI,Canh khoai mỡ nấu tôm,MÓN CANH
26,CANH_KHOQUA_001,CANH_KHOQUA,Canh khổ qua dồn thịt,MÓN CANH
27,CANH_KHOQUA_002,CANH_KHOQUA,Canh khổ qua thịt bằm,MÓN CANH
28,CANH_LAGIANG_001,CANH_LAGIANG,Canh lá giang,MÓN CANH
29,CANH_MIENMANG_001,CANH_MIENMANG,Canh miến măng,MÓN CANH
30,CANH_RAU_001,CANH_RAU,Canh mồng tơi,MÓN CANH
31,CANH_RAU_002,CANH_RAU,Canh mồng tơi cua,MÓN CANH
32,CANH_RAU_003,CANH_RAU,Canh mồng tơi mướp,MÓN CANH
33,CANH_RAU_004,CANH_RAU,Canh rau dền,MÓN CANH
34,CANH_RAU_005,CANH_RAU,Canh rau dền cua đồng,MÓN CANH
35,CANH_RAU_006,CANH_RAU,Canh rau má,MÓN CANH
36,CANH_RAU_007,CANH_RAU,Canh rau ngót,MÓN CANH
37,CANH_RONGBIEN_001,CANH_RONGBIEN,Canh rong biển,MÓN CANH
38,CANH_SUP_001,CANH_SUP,Canh súp,MÓN CANH
39,CANH_SUP_002,CANH_SUP,Canh súp xương,MÓN CANH
40,CHAY_BANHCANH_001,CHAY_BANHCANH,Bánh canh chay,MÓN CHAY
41,CHAY_BANHUOT_001,CHAY_BANHUOT,Bánh ướt chay,MÓN CHAY
42,CHAY_BAONGU_XAO_001,CHAY_BAONGU_XAO,Bào ngư xào xả,MÓN CHAY
43,CHAY_BAPMY_XAO_001,CHAY_BAPMY_XAO,Bắp mỹ xào hành,MÓN CHAY
44,CHAY_BAU_KHO_001,CHAY_BAU_KHO,Bầu kho nấm,MÓN CHAY
45,CHAY_BI_KHO_001,CHAY_BI_KHO,Bí xanh kho tiêu,MÓN CHAY
46,CHAY_BI_KHO_002,CHAY_BI_KHO,Bí xanh kho nấm,MÓN CHAY
47,CHAY_BO_KHO_001,CHAY_BO_KHO,Bò chay kho dưa chua,MÓN CHAY
48,CHAY_BO_RIM_001,CHAY_BO_RIM,Bò viên chay rim,MÓN CHAY
49,CHAY_BO_XAO_001,CHAY_BO_XAO,Bò chay xào dưa,MÓN CHAY
50,CHAY_BO_XAO_002,CHAY_BO_XAO,Bò chay xào khổ qua,MÓN CHAY
51,CHAY_BO_XAO_003,CHAY_BO_XAO,Bò chay xào sả ớt,MÓN CHAY
52,CHAY_BO_XAO_004,CHAY_BO_XAO,Bò chay xào thập cẩm,MÓN CHAY
53,CHAY_BO_XAO_005,CHAY_BO_XAO,Bò viên chay xào sả ớt,MÓN CHAY
54,CHAY_BO_XAO_006,CHAY_BO_XAO,Bò viên chay xào sa tế,MÓN CHAY
55,CHAY_BONGCAI_KHO_001,CHAY_BONGCAI_KHO,Bông cải kho bắp non,MÓN CHAY
56,CHAY_BONGCAI_XAO_001,CHAY_BONGCAI_XAO,Bông cải xào thập cẩm,MÓN CHAY
57,CHAY_BUN_KHO_001,CHAY_BUN_KHO,Bún đậu nước tương,MÓN CHAY
58,CHAY_BUN_KHO_002,CHAY_BUN_KHO,Bún nước tương chay,MÓN CHAY
59,CHAY_BUN_NUOC_001,CHAY_BUN_NUOC,Bún riêu chay,MÓN CHAY
60,CHAY_BUN_NUOC_002,CHAY_BUN_NUOC,Bún bò chay,MÓN CHAY
61,CHAY_BUN_XAO_001,CHAY_BUN_XAO,Bún gạo xào,MÓN CHAY
62,CHAY_BUN_XAO_002,CHAY_BUN_XAO,Bún xào chay,MÓN CHAY
63,CHAY_BUN_XAO_003,CHAY_BUN_XAO,Bún gạo xào chay,MÓN CHAY
64,CHAY_CACOM_KHAC_001,CHAY_CACOM_KHAC,Cá cơm chay,MÓN CHAY
65,CHAY_CACOM_KHAC_002,CHAY_CACOM_KHAC,Cá cơm chay + nấm xào chua ngọt,MÓN CHAY
66,CHAY_CACOM_KHAC_003,CHAY_CACOM_KHAC,Cá cơm kho chay,MÓN CHAY
67,CHAY_CACOM_KHAC_004,CHAY_CACOM_KHAC,Cá cơm chay + bắp mĩ xào hành,MÓN CHAY
68,CHAY_CAI_KHO_001,CHAY_CAI_KHO,Bắp cải kho chay,MÓN CHAY
69,CHAY_CAI_XAO_001,CHAY_CAI_XAO,Cải thìa xào nấm,MÓN CHAY
70,CHAY_CAI_XAO_002,CHAY_CAI_XAO,Bắp cải xào bông cải,MÓN CHAY
71,CHAY_CAI_XAO_003,CHAY_CAI_XAO,Cải thìa xào nấm đông cô,MÓN CHAY
72,CHAY_CAI_XAO_004,CHAY_CAI_XAO,Cải xào đông cô,MÓN CHAY
73,CHAY_CAI_XAO_005,CHAY_CAI_XAO,Cải xào nấm,MÓN CHAY
74,CHAY_CARI_HAM_001,CHAY_CARI_HAM,Cà ri chay,MÓN CHAY
75,CHAY_CATIM_CHIEN_001,CHAY_CATIM_CHIEN,Cà tím lăn bột chiên xù,MÓN CHAY
76,CHAY_CATIM_KHO_001,CHAY_CATIM_KHO,Cà tím kho đậu hũ,MÓN CHAY
77,CHAY_CATIM_KHO_002,CHAY_CATIM_KHO,Cà tím kho tiêu,MÓN CHAY
78,CHAY_CATIM_SOT_001,CHAY_CATIM_SOT,Cà tím sốt nấm,MÓN CHAY
79,CHAY_CATIM_SOT_002,CHAY_CATIM_SOT,Cà tím chiên sốt tương ,MÓN CHAY
80,CHAY_CATIM_UM_001,CHAY_CATIM_UM,Cà tím um xì dầu,MÓN CHAY
81,CHAY_COM_CHIEN_001,CHAY_COM_CHIEN,Cơm chiên chay,MÓN CHAY
82,CHAY_CUCAI_KHO_001,CHAY_CUCAI_KHO,Củ cải kho chay,MÓN CHAY
83,CHAY_CHACA_RIM_001,CHAY_CHACA_RIM,Chả cá chay rim,MÓN CHAY
84,CHAY_CHAGIO_CHIEN_001,CHAY_CHAGIO_CHIEN,"Chả giò chay, đậu hũ",MÓN CHAY
85,CHAY_CHALUA_KHO_001,CHAY_CHALUA_KHO,Chả chay kho thơm,MÓN CHAY
86,CHAY_CHALUA_KHO_002,CHAY_CHALUA_KHO,Chả lụa chay kho đậu hủ,MÓN CHAY
87,CHAY_CHALUA_RIM_001,CHAY_CHALUA_RIM,Chả lụa chay rim ớt chuông,MÓN CHAY
88,CHAY_CHALUA_RIM_002,CHAY_CHALUA_RIM,Chả lụa chay rim thơm,MÓN CHAY
89,CHAY_CHALUA_RIM_003,CHAY_CHALUA_RIM,Chả lụa rim sả,MÓN CHAY
90,CHAY_CHALUA_RIM_004,CHAY_CHALUA_RIM,Chả lụa chay rim tỏi ớt,MÓN CHAY
91,CHAY_CHALUA_SOT_001,CHAY_CHALUA_SOT,Chả lụa chay sốt cà,MÓN CHAY
92,CHAY_CHUOI_KHO_001,CHAY_CHUOI_KHO,Chuối xanh kho đậu,MÓN CHAY
93,CHAY_DAUHU_CHIEN_001,CHAY_DAUHU_CHIEN,Đậu hũ chiên sả,MÓN CHAY
94,CHAY_DAUHU_CHIEN_002,CHAY_DAUHU_CHIEN,Đậu hũ chiên xù,MÓN CHAY
95,CHAY_DAUHU_CHIEN_003,CHAY_DAUHU_CHIEN,Đậu hũ dồn chay,MÓN CHAY
96,CHAY_DAUHU_CHIEN_004,CHAY_DAUHU_CHIEN,Đậu hũ muối ớt,MÓN CHAY
97,CHAY_DAUHU_CHIEN_005,CHAY_DAUHU_CHIEN,Đậu hũ muối sả,MÓN CHAY
98,CHAY_DAUHU_CHIEN_006,CHAY_DAUHU_CHIEN,Đậu hũ non chiên giòn,MÓN CHAY
99,CHAY_DAUHU_CHIEN_007,CHAY_DAUHU_CHIEN,Tàu hũ ki chiên muối ớt,MÓN CHAY
100,CHAY_DAUHU_HAP_001,CHAY_DAUHU_HAP,Đậu hũ trắng hấp nấm,MÓN CHAY
101,CHAY_DAUHU_KHO_001,CHAY_DAUHU_KHO,Đậu hũ kho tương hộp,MÓN CHAY
102,CHAY_DAUHU_KHO_002,CHAY_DAUHU_KHO,Đậu hũ kho bắp cải,MÓN CHAY
103,CHAY_DAUHU_KHO_003,CHAY_DAUHU_KHO,Đậu hũ kho bông cải,MÓN CHAY
104,CHAY_DAUHU_KHO_004,CHAY_DAUHU_KHO,Đậu hũ kho cà tím,MÓN CHAY
