Id,Mã món ăn,Tên món ăn,Nhóm món ăn,Mã nhóm món ăn,Created By,Date Created,Hiệu chỉnh lần,Thêm mới
FOOD_1464,CANH_BAU_001,Canh bầu,MÓN CANH,CANH_BAU,Hoàng Nguyễn IT,2026/04/13 09:59,0,
FOOD_1428,CANH_BAU_002,Canh bầu nấu tôm,MÓN CANH,CANH_BAU,Khánh Đoàn,2026/04/08 14:57,0,
FOOD_1419,CANH_BI_001,Canh bí đỏ,MÓN CANH,CANH_BI,Khánh Đoàn,2026/04/08 13:32,0,
FOOD_1369,CANH_BI_002,Canh bí đỏ hầm xương,MÓN CANH,CANH_BI,Khánh Đoàn,2026/04/07 18:10,0,
FOOD_1364,CANH_BI_003,Canh bí xanh,MÓN CANH,CANH_BI,Khánh Đoàn,2026/04/07 17:17,0,
FOOD_1362,CANH_BI_004,Canh bí xanh dồn thịt,MÓN CANH,CANH_BI,Khánh Đoàn,2026/04/07 17:15,0,
FOOD_1361,CANH_BI_005,Canh bí xanh nấu tôm,MÓN CANH,CANH_BI,Khánh Đoàn,2026/04/07 17:01,0,
FOOD_1360,CANH_BI_006,Canh bí xanh nấu xương,MÓN CANH,CANH_BI,Khánh Đoàn,2026/04/07 16:57,0,
FOOD_1359,CANH_CACHUA_001,Canh cà chua,MÓN CANH,CANH_CACHUA,Khánh Đoàn,2026/04/07 16:56,0,
FOOD_1353,CANH_CACHUA_002,Canh cà chua thịt bằm,MÓN CANH,CANH_CACHUA,Khánh Đoàn,2026/04/07 16:37,0,
FOOD_1348,CANH_CACHUA_003,Canh cà chua trứng,MÓN CANH,CANH_CACHUA,Khánh Đoàn,2026/04/07 16:27,0,
FOOD_1347,CANH_CAI_001,Canh bắp cải thịt bằm,MÓN CANH,CANH_CAI,Khánh Đoàn,2026/04/07 16:26,0,
FOOD_1345,CANH_CAI_002,Canh cải cúc,MÓN CANH,CANH_CAI,Khánh Đoàn,2026/04/07 16:17,0,
FOOD_1344,CANH_CAI_003,Canh cải ngọt,MÓN CANH,CANH_CAI,Khánh Đoàn,2026/04/07 16:16,0,
FOOD_1343,CANH_CAI_004,Canh cải thảo,MÓN CANH,CANH_CAI,Khánh Đoàn,2026/04/07 16:14,0,
FOOD_1342,CANH_CAI_005,Canh cải xanh,MÓN CANH,CANH_CAI,Khánh Đoàn,2026/04/07 16:13,0,
FOOD_1341,CANH_CAI_006,Canh cải xanh nấu mọc,MÓN CANH,CANH_CAI,Khánh Đoàn,2026/04/07 16:11,0,
FOOD_1340,CANH_CANHCHUA_001,Canh chua muống,MÓN CANH,CANH_CANHCHUA,Khánh Đoàn,2026/04/07 16:06,0,
FOOD_1339,CANH_CANHCHUA_002,Canh chua nấu nghêu,MÓN CANH,CANH_CANHCHUA,Khánh Đoàn,2026/04/07 16:05,0,
FOOD_1338,CANH_CANHCHUA_003,Canh chua thập cẩm,MÓN CANH,CANH_CANHCHUA,Khánh Đoàn,2026/04/07 16:03,0,
FOOD_1337,CANH_CANHCHUA_004,Canh chua,MÓN CANH,CANH_CANHCHUA,Khánh Đoàn,2026/04/07 16:02,0,
FOOD_1336,CANH_DAUHU_001,Canh đậu hũ hẹ,MÓN CANH,CANH_DAUHU,Khánh Đoàn,2026/04/07 16:01,0,
FOOD_001,CANH_DAUHU_002,Canh đậu hũ kim chi,MÓN CANH,CANH_DAUHU,Hoàng Nguyễn IT,2026/04/06 16:04,0,
FOOD_002,CANH_DAUHU_003,Canh kim chi đậu hũ,MÓN CANH,CANH_DAUHU,Hoàng Nguyễn IT,2026/04/06 16:04,0,
FOOD_003,CANH_DUACHUA_001,Canh dưa chua gân bò,MÓN CANH,CANH_DUACHUA,Hoàng Nguyễn IT,2026/04/06 16:04,0,
FOOD_004,CANH_DUDU_001,Canh đu đủ,MÓN CANH,CANH_DUDU,Hoàng Nguyễn IT,2026/04/06 16:04,0,
FOOD_005,CANH_KHOAI_001,Canh khoai mỡ,MÓN CANH,CANH_KHOAI,Hoàng Nguyễn IT,2026/04/06 16:04,0,
