Id,Tuần,Ý kiến tạo lúc,Khách hàng,Khách hàng xác nhận,Khách hàng có ý kiến,Khách hàng đính kèm file,Rating
32,Tuần 17,2026/03/26 15:44,WATABE,,đổi cho chị món mặn thành món nước,,
31,Tuần 17,2026/03/26 15:42,WATABE,1,,,
30,Tuần 17,2026/03/24 17:31,WATABE,,test 12345,,
29,Tuần 17,2026/03/24 17:29,WATABE,,hello world,,
28,Tuần 17,2026/03/24 17:27,WATABE,,tôi ko biết,,
27,Tuần 17,2026/03/24 17:26,WATABE,,Đề nghị thay đổi như bên dưới,,
26,Tuần 17,2026/03/24 17:26,WATABE,1,,,
25,Tuần 17,2026/03/24 17:16,WATABE,1,,,
24,Tuần 17,2026/03/24 17:15,WATABE,1,,,
23,Tuần 17,2026/03/24 17:13,WATABE,1,,,
22,Tuần 17,2026/03/24 16:59,WATABE,,okie man,,
21,Tuần 17,2026/03/24 16:50,WATABE,,nhờ đổi mặt hàng giùm tui nhé,,
