Id,Số thứ tự Site,Ngày,Khách hàng,Suất ăn,Ca,SL chia suất cơm,SL chia suất mì sữa,SL chia suất chay,SL chia suất nước,SL chia suất cháo,Tổng số lượng chia suất thực tế,SL thực hiện suất cơm,SL thực hiện suất mì sữa,SL thực hiện suất chay,SL thực hiện suất nước,SL thực hiện suất cháo,Tổng số thực hiện giao hàng,SL chênh lệch suất cơm,SL chênh lệch suất mì sữa,SL chênh lệch suất chay,SL chênh lệch suất nước,SL chênh lệch suất cháo,Chênh lệch
793,1,01/04/2026,,,Ca 1,,,,,,0,,0,0,0,0,0,0,0,0,0,0,0
982,1,02/04/2026,,,Ca 1,,,,,,0,,0,0,0,0,0,0,0,0,0,0,0
1045,1,03/04/2026,,,Ca 1,,,,,,0,,0,0,0,0,0,0,0,0,0,0,0
1108,1,04/04/2026,,,Ca 1,,,,,,0,,0,0,0,0,0,0,0,0,0,0,0
1171,1,05/04/2026,,,Ca 1,,,,,,0,,0,0,0,0,0,0,0,0,0,0,0
1234,1,06/04/2026,,,Ca 1,,,,,,0,,0,0,0,0,0,0,0,0,0,0,0
1297,1,08/04/2026,,,Ca 1,,,,,,0,,0,0,0,0,0,0,0,0,0,0,0
1360,1,09/04/2026,,,Ca 1,,,,,,0,,0,0,0,0,0,0,0,0,0,0,0
1423,1,10/04/2026,,,Ca 1,,,,,,0,,0,0,0,0,0,0,0,0,0,0,0
1486,1,11/04/2026,,,Ca 1,,,,,,0,,0,0,0,0,0,0,0,0,0,0,0
1549,1,12/04/2026,,,Ca 1,,,,,,0,,0,0,0,0,0,0,0,0,0,0,0
1612,1,13/04/2026,,,Ca 1,,,,,,0,,0,0,0,0,0,0,0,0,0,0,0
1675,1,14/04/2026,,,Ca 1,,,,,,0,,0,0,0,0,0,0,0,0,0,0,0
1738,1,15/04/2026,,,Ca 1,,,,,,0,,0,0,0,0,0,0,0,0,0,0,0
1801,1,16/04/2026,,,Ca 1,,,,,,0,,0,0,0,0,0,0,0,0,0,0,0
1864,1,17/04/2026,,,Ca 1,,,,,,0,,0,0,0,0,0,0,0,0,0,0,0
1927,1,18/04/2026,,,Ca 1,,,,,,0,,,,,,0,0,0,0,0,0,0
1990,1,19/04/2026,,,Ca 1,,,,,,0,,,,,,0,0,0,0,0,0,0
2262,1,20/04/2026,,,Ca 1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2325,1,21/04/2026,,,Ca 1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2388,1,22/04/2026,,,Ca 1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2451,1,23/04/2026,WACOAL,,Ca 1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
794,2,01/04/2026,,,Ca 1,,,,,,0,,0,0,0,0,0,0,0,0,0,0,0
983,2,02/04/2026,,,Ca 1,,,,,,0,,0,0,0,0,0,0,0,0,0,0,0
1046,2,03/04/2026,,,Ca 1,,,,,,0,,0,0,0,0,0,0,0,0,0,0,0
1109,2,04/04/2026,,,Ca 1,,,,,,0,,0,0,0,0,0,0,0,0,0,0,0
1172,2,05/04/2026,,,Ca 1,,,,,,0,,0,0,0,0,0,0,0,0,0,0,0
1235,2,06/04/2026,,,Ca 1,,,,,,0,,0,0,0,0,0,0,0,0,0,0,0
1298,2,08/04/2026,,,Ca 1,,,,,,0,,0,0,0,0,0,0,0,0,0,0,0
1361,2,09/04/2026,,,Ca 1,,,,,,0,,0,0,0,0,0,0,0,0,0,0,0
1424,2,10/04/2026,,,Ca 1,,,,,,0,,0,0,0,0,0,0,0,0,0,0,0
1487,2,11/04/2026,,,Ca 1,,,,,,0,,0,0,0,0,0,0,0,0,0,0,0
1550,2,12/04/2026,,,Ca 1,,,,,,0,,0,0,0,0,0,0,0,0,0,0,0
1613,2,13/04/2026,,,Ca 1,,,,,,0,,0,0,0,0,0,0,0,0,0,0,0
1676,2,14/04/2026,,,Ca 1,,,,,,0,,0,0,0,0,0,0,0,0,0,0,0
1739,2,15/04/2026,,,Ca 1,,,,,,0,,0,0,0,0,0,0,0,0,0,0,0
1802,2,16/04/2026,,,Ca 1,,,,,,0,,0,0,0,0,0,0,0,0,0,0,0
1865,2,17/04/2026,,,Ca 1,,,,,,0,,0,0,0,0,0,0,0,0,0,0,0
1928,2,18/04/2026,,,Ca 1,,,,,,0,,,,,,0,0,0,0,0,0,0
1991,2,19/04/2026,,,Ca 1,,,,,,0,,,,,,0,0,0,0,0,0,0
2263,2,20/04/2026,,,Ca 1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2326,2,21/04/2026,,,Ca 1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2389,2,22/04/2026,,,Ca 1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2452,2,23/04/2026,SMC MANUFACTURING,,Ca 1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
795,3,01/04/2026,,,Ca 1,,,,,,0,,0,0,0,0,0,0,0,0,0,0,0
984,3,02/04/2026,,,Ca 1,,,,,,0,,0,0,0,0,0,0,0,0,0,0,0
1047,3,03/04/2026,,,Ca 1,,,,,,0,,0,0,0,0,0,0,0,0,0,0,0
1110,3,04/04/2026,,,Ca 1,,,,,,0,,0,0,0,0,0,0,0,0,0,0,0
1173,3,05/04/2026,,,Ca 1,,,,,,0,,0,0,0,0,0,0,0,0,0,0,0
1236,3,06/04/2026,,,Ca 1,,,,,,0,,0,0,0,0,0,0,0,0,0,0,0
1299,3,08/04/2026,,,Ca 1,,,,,,0,,0,0,0,0,0,0,0,0,0,0,0
1362,3,09/04/2026,,,Ca 1,,,,,,0,,0,0,0,0,0,0,0,0,0,0,0
1425,3,10/04/2026,,,Ca 1,,,,,,0,,0,0,0,0,0,0,0,0,0,0,0
1488,3,11/04/2026,,,Ca 1,,,,,,0,,0,0,0,0,0,0,0,0,0,0,0
1551,3,12/04/2026,,,Ca 1,,,,,,0,,0,0,0,0,0,0,0,0,0,0,0
1614,3,13/04/2026,,,Ca 1,,,,,,0,,0,0,0,0,0,0,0,0,0,0,0
1677,3,14/04/2026,,,Ca 1,,,,,,0,,0,0,0,0,0,0,0,0,0,0,0
1740,3,15/04/2026,,,Ca 1,,,,,,0,,0,0,0,0,0,0,0,0,0,0,0
1803,3,16/04/2026,,,Ca 1,,,,,,0,,0,0,0,0,0,0,0,0,0,0,0
1866,3,17/04/2026,,,Ca 1,,,,,,0,,0,0,0,0,0,0,0,0,0,0,0
1929,3,18/04/2026,,,Ca 1,,,,,,0,,,,,,0,0,0,0,0,0,0
1992,3,19/04/2026,,,Ca 1,,,,,,0,,,,,,0,0,0,0,0,0,0
2264,3,20/04/2026,,,Ca 1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2327,3,21/04/2026,,,Ca 1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2390,3,22/04/2026,,,Ca 1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2453,3,23/04/2026,SMC MANUFACTURING,,Ca 1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
796,4,01/04/2026,,,Ca 1,,,,,,0,,0,0,0,0,0,0,0,0,0,0,0
985,4,02/04/2026,,,Ca 1,,,,,,0,,0,0,0,0,0,0,0,0,0,0,0
1048,4,03/04/2026,,,Ca 1,,,,,,0,,0,0,0,0,0,0,0,0,0,0,0
1111,4,04/04/2026,,,Ca 1,,,,,,0,,0,0,0,0,0,0,0,0,0,0,0
1174,4,05/04/2026,,,Ca 1,,,,,,0,,0,0,0,0,0,0,0,0,0,0,0
1237,4,06/04/2026,,,Ca 1,,,,,,0,,0,0,0,0,0,0,0,0,0,0,0
1300,4,08/04/2026,,,Ca 1,,,,,,0,,0,0,0,0,0,0,0,0,0,0,0
1363,4,09/04/2026,,,Ca 1,,,,,,0,,0,0,0,0,0,0,0,0,0,0,0
1426,4,10/04/2026,,,Ca 1,,,,,,0,,0,0,0,0,0,0,0,0,0,0,0
1489,4,11/04/2026,,,Ca 1,,,,,,0,,0,0,0,0,0,0,0,0,0,0,0
1552,4,12/04/2026,,,Ca 1,,,,,,0,,0,0,0,0,0,0,0,0,0,0,0
1615,4,13/04/2026,,,Ca 1,,,,,,0,,0,0,0,0,0,0,0,0,0,0,0
1678,4,14/04/2026,,,Ca 1,,,,,,0,,0,0,0,0,0,0,0,0,0,0,0
1741,4,15/04/2026,,,Ca 1,,,,,,0,,0,0,0,0,0,0,0,0,0,0,0
1804,4,16/04/2026,,,Ca 1,,,,,,0,,0,0,0,0,0,0,0,0,0,0,0
1867,4,17/04/2026,,,Ca 1,,,,,,0,,0,0,0,0,0,0,0,0,0,0,0
1930,4,18/04/2026,,,Ca 1,,,,,,0,,,,,,0,0,0,0,0,0,0
1993,4,19/04/2026,,,Ca 1,,,,,,0,,,,,,0,0,0,0,0,0,0
2265,4,20/04/2026,,,Ca 1,0,0,0,0,0,0,97,0,5,41,0,143,-97,0,-5,-41,0,-143
2328,4,21/04/2026,,,Ca 1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2391,4,22/04/2026,,,Ca 1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2454,4,23/04/2026,SMC MANUFACTURING,,Ca 2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
808,5,01/04/2026,,,Ca 1,,,,,,0,,0,0,0,0,0,0,0,0,0,0,0
997,5,02/04/2026,,,Ca 1,,,,,,0,,0,0,0,0,0,0,0,0,0,0,0
1060,5,03/04/2026,,,Ca 1,,,,,,0,,0,0,0,0,0,0,0,0,0,0,0
1123,5,04/04/2026,,,Ca 1,,,,,,0,,0,0,0,0,0,0,0,0,0,0,0
1186,5,05/04/2026,,,Ca 1,,,,,,0,,0,0,0,0,0,0,0,0,0,0,0
1249,5,06/04/2026,,,Ca 1,,,,,,0,,0,0,0,0,0,0,0,0,0,0,0
1312,5,08/04/2026,,,Ca 1,,,,,,0,,0,0,0,0,0,0,0,0,0,0,0
1375,5,09/04/2026,,,Ca 1,,,,,,0,,0,0,0,0,0,0,0,0,0,0,0
1438,5,10/04/2026,,,Ca 1,,,,,,0,,0,0,0,0,0,0,0,0,0,0,0
1501,5,11/04/2026,,,Ca 1,,,,,,0,,0,0,0,0,0,0,0,0,0,0,0
1564,5,12/04/2026,,,Ca 1,,,,,,0,,0,0,0,0,0,0,0,0,0,0,0
