Id,Ngày,Số thứ tự công ty,Khách hàng,Suất ăn,Ca,Số lượng chốt,Số lượng phát sinh,Tổng số thực hiện giao hàng,Tổng số lượng KH đặt hàng,SL thanh toán tối thiểu theo hợp đồng,Tổng số lượng xuất hoá đơn
2645,23/04/2026,1,WATABE,,Ca 1,0,,0,,,
2792,25/04/2026,1,WATABE,,Ca 1,,,0,,,
2882,25/04/2026,1,WATABE,,Ca 1,,,0,,,
2915,24/04/2026,1,WATABE,,Ca 1,,,0,,,
2916,24/04/2026,1,WATABE,,Ca 1,,,0,,,
2964,27/04/2026,1,WATABE,Suất mặn,Ca 1,177,,177,,,
3080,28/04/2026,1,WATABE,Suất chay,Ca 1,196,,196,,,
3175,28/04/2026,1,WATABE,Suất chay,Ca 1,,,0,,,
3237,29/04/2026,1,WATABE,Suất mặn,Ca 1,164,,164,,,
3295,29/04/2026,1,WATABE,Suất chay,Ca 1,9,,9,,,
3338,30/04/2026,1,WATABE,Suất mặn,Ca 1,,,0,,,
3388,30/04/2026,1,WATABE,Suất chay,Ca 1,,,0,,,
2793,25/04/2026,1,WATABE,,Ca 2,,,0,,,
2883,25/04/2026,1,WATABE,,Ca 2,,,0,,,
2917,24/04/2026,1,WATABE,,Ca 2,,,0,,,
2918,24/04/2026,1,WATABE,,Ca 2,,,0,,,
3408,30/04/2026,1,WATABE,Suất mặn,Ca 2,,,0,,,
2613,23/04/2026,2,WACOAL,,Ca 1,0,,0,,,
2676,24/04/2026,2,WACOAL,,Ca 1,1720,,"1,720",,,
2677,24/04/2026,2,WACOAL,,Ca 1,924,,924,,,
2770,25/04/2026,2,WACOAL,,Ca 1,,,0,,,
2842,25/04/2026,2,WACOAL,,Ca 1,,,0,,,
2965,27/04/2026,2,WACOAL,Suất mặn,Ca 1,1640,,"1,640",,,
2966,27/04/2026,2,WACOAL,Suất chay,Ca 1,80,,80,,,
3081,28/04/2026,2,WACOAL,Suất mặn,Ca 1,,,0,,,
3082,28/04/2026,2,WACOAL,Suất chay,Ca 1,,,0,,,
3216,29/04/2026,2,WACOAL,Suất mặn,Ca 1,1600,,"1,600",,,
3280,29/04/2026,2,WACOAL,Suất chay,Ca 1,130,,130,,,
3317,30/04/2026,2,WACOAL,Suất mặn,Ca 1,,,0,,,
3402,30/04/2026,2,WACOAL,Suất chay,Ca 1,,,0,,,
2614,23/04/2026,3,SMC MANUFACTURING,,Ca 1,0,,0,,,
2615,23/04/2026,3,SMC MANUFACTURING,,Ca 1,,,0,,,
2678,24/04/2026,3,SMC MANUFACTURING,,Ca 1,16,,16,,,
2679,24/04/2026,3,SMC MANUFACTURING,,Ca 1,0,,0,,,
2680,24/04/2026,3,SMC MANUFACTURING,,Ca 1,,,0,,,
2771,25/04/2026,3,SMC MANUFACTURING,,Ca 1,,,0,,,
2772,25/04/2026,3,SMC MANUFACTURING,,Ca 1,,,0,,,
2843,25/04/2026,3,SMC MANUFACTURING,,Ca 1,,,0,,,
2967,27/04/2026,3,SMC MANUFACTURING,Suất mặn,Ca 1,,,0,,,
2968,27/04/2026,3,SMC MANUFACTURING,Suất nước,Ca 1,,,0,,,
2969,27/04/2026,3,SMC MANUFACTURING,Suất chay,Ca 1,,,0,,,
3083,28/04/2026,3,SMC MANUFACTURING,Suất mặn,Ca 1,,,0,,,
3084,28/04/2026,3,SMC MANUFACTURING,Suất nước,Ca 1,,,0,,,
3085,28/04/2026,3,SMC MANUFACTURING,Suất chay,Ca 1,,,0,,,
3217,29/04/2026,3,SMC MANUFACTURING,Suất mặn,Ca 1,,,0,,,
3218,29/04/2026,3,SMC MANUFACTURING,Suất nước,Ca 1,,,0,,,
3278,29/04/2026,3,SMC MANUFACTURING,Suất chay,Ca 1,,,0,,,
3318,30/04/2026,3,SMC MANUFACTURING,Suất mặn,Ca 1,,,0,,,
3319,30/04/2026,3,SMC MANUFACTURING,Suất nước,Ca 1,,,0,,,
3377,30/04/2026,3,SMC MANUFACTURING,Suất chay,Ca 1,,,0,,,
2616,23/04/2026,3,SMC MANUFACTURING,,Ca 2,,,0,,,
2628,23/04/2026,3,SMC MANUFACTURING,,Ca 2,,,0,,,
2681,24/04/2026,3,SMC MANUFACTURING,,Ca 2,739,,739,,,
2682,24/04/2026,3,SMC MANUFACTURING,,Ca 2,426,,426,,,
2683,24/04/2026,3,SMC MANUFACTURING,,Ca 2,10,,10,,,
2773,25/04/2026,3,SMC MANUFACTURING,,Ca 2,,,0,,,
2774,25/04/2026,3,SMC MANUFACTURING,,Ca 2,,,0,,,
2844,25/04/2026,3,SMC MANUFACTURING,,Ca 2,,,0,,,
2978,27/04/2026,3,SMC MANUFACTURING,Suất buffet rau,Ca 2,,,0,,,
3094,28/04/2026,3,SMC MANUFACTURING,Suất buffet rau,Ca 2,,,0,,,
3181,28/04/2026,3,SMC MANUFACTURING,Suất mặn,Ca 2,,,0,,,
3182,28/04/2026,3,SMC MANUFACTURING,Suất nước,Ca 2,,,0,,,
3219,29/04/2026,3,SMC MANUFACTURING,Suất mặn,Ca 2,,,0,,,
3220,29/04/2026,3,SMC MANUFACTURING,Suất nước,Ca 2,,,0,,,
3279,29/04/2026,3,SMC MANUFACTURING,Suất buffet rau,Ca 2,,,0,,,
3320,30/04/2026,3,SMC MANUFACTURING,Suất mặn,Ca 2,,,0,,,
3321,30/04/2026,3,SMC MANUFACTURING,Suất nước,Ca 2,,,0,,,
2617,23/04/2026,4,TOÀN CẦU LIXIL,,Ca 1,,,0,,,
2629,23/04/2026,4,TOÀN CẦU LIXIL,,Ca 1,0,,0,,,
2684,24/04/2026,4,TOÀN CẦU LIXIL,,Ca 1,52,,52,,,
2685,24/04/2026,4,TOÀN CẦU LIXIL,,Ca 1,49,,49,,,
2686,24/04/2026,4,TOÀN CẦU LIXIL,,Ca 1,89,,89,,,
2775,25/04/2026,4,TOÀN CẦU LIXIL,,Ca 1,,,0,,,
2776,25/04/2026,4,TOÀN CẦU LIXIL,,Ca 1,,,0,,,
2845,25/04/2026,4,TOÀN CẦU LIXIL,,Ca 1,,,0,,,
2979,27/04/2026,4,TOÀN CẦU LIXIL,Suất mặn,Ca 1,,,0,,,
2980,27/04/2026,4,TOÀN CẦU LIXIL,Suất nước,Ca 1,,,0,,,
2981,27/04/2026,4,TOÀN CẦU LIXIL,Suất chay,Ca 1,,,0,,,
3095,28/04/2026,4,TOÀN CẦU LIXIL,Suất mặn,Ca 1,884,,884,,,
3096,28/04/2026,4,TOÀN CẦU LIXIL,Suất nước,Ca 1,,,0,,,
3097,28/04/2026,4,TOÀN CẦU LIXIL,Suất chay,Ca 1,,,0,,,
